frameIndex,wireToEnqueueMs,enqueueToPresentedMs,wireToPresentedMs,interFrameMs
364,7.639,17.772,25.411,16.674
365,0.837,22.254,23.091,33.333
366,8.929,24.413,33.342,66.650
367,8.525,24.999,33.523,25.012
368,8.215,23.915,32.131,16.665
369,8.814,21.086,29.901,41.671
370,8.075,23.430,31.505,16.656
371,7.371,23.730,31.101,24.994
372,8.828,23.157,31.985,41.693
373,0.689,18.056,18.745,0.000
374,8.464,20.619,29.083,41.688
375,9.471,20.851,30.322,16.639
376,7.606,19.708,27.314,41.671
377,1.052,20.324,21.376,2983.318
378,7.011,23.099,30.110,49.998
379,2.684,24.218,26.902,8.338
380,2.678,17.957,20.635,1091.658
381,1.400,23.681,25.081,25.019
382,1.708,23.448,25.156,16.664
383,3.466,17.944,21.411,16.641
384,3.914,19.429,23.343,16.688
385,3.444,23.195,26.639,16.647
386,10.562,18.453,29.015,41.689
387,2.841,18.405,21.246,8.332
388,9.544,23.458,33.002,41.666
389,0.654,20.102,20.756,8.316
390,5.878,25.321,31.198,41.680
391,4.011,24.038,28.049,16.653
392,17.162,21.565,38.727,41.671
393,3.086,24.482,27.568,8.332
394,13.267,23.894,37.161,49.988
395,8.820,22.581,31.401,16.681
396,6.115,24.477,30.592,16.669
397,8.979,22.441,31.420,1025.013
398,0.606,18.572,19.177,3224.990
399,2.736,18.650,21.385,16.655
400,2.543,19.713,22.256,16.676
401,0.463,21.947,22.410,16.682
402,0.576,20.929,21.505,16.645
403,0.229,22.266,22.495,16.686
404,0.295,22.633,22.928,16.651
405,0.556,20.653,21.209,16.657
406,2.476,25.467,27.943,24.999
407,0.522,18.926,19.449,0.000
408,0.503,21.634,22.136,8.372
409,0.570,20.833,21.403,16.664
410,0.544,22.916,23.461,16.647
411,0.560,20.005,20.565,8.327
412,0.215,20.730,20.945,8.344
413,0.280,22.192,22.473,16.660
414,0.340,21.044,21.385,16.684
415,0.522,20.731,21.253,16.671
416,2.574,18.518,21.092,16.644
417,0.803,18.941,19.744,16.677
418,0.661,21.218,21.879,16.674
419,0.492,24.034,24.525,8.316
420,0.742,21.525,22.266,8.346
421,0.622,22.204,22.826,8.306
422,0.308,19.747,20.055,8.348
423,0.460,22.357,22.817,8.337
424,0.605,25.328,25.933,16.662
425,0.590,22.279,22.869,8.328
426,0.401,20.064,20.465,8.340
427,0.720,17.381,18.101,8.330
428,0.455,20.148,20.604,8.355
429,0.594,22.456,23.050,8.318
430,0.486,21.606,22.092,25.014
